"Record ID","FirstName","LastLame","Email","CreateDate","CompanyName","BuyingRole","BuyingRoleOption","MobilePhone Number","Additionalemail addresses"
"1901","Bryan","Cooper","bcooper@biglytics.net","2023-02-14 15:53","Biglytics","","","",""
"1354","Aila","McPharlain","aila.mcpharlain@brainsphere.com","2022-08-12 11:20","Brainsphere","","End User","",""
"563","Dill","Kellert","dill.kellert@myworks.com","2022-08-12 11:20","Myworks","","Influencer","",""
"112","Saundra","Bromidge","saundra.bromidge@devcast.com","2022-08-12 11:20","Devcast","Budget Holder","Budget Holder","",""
"1514","Danita","Allcock","danita.allcock@quinu.com","2022-08-12 11:20","Quinu","","End User","163-830-9235",""
"560","Aldric","Canavan","aldric.canavan@latz.com","2022-08-12 11:20","Latz","Other","Other","",""
"362","Danny","Gorry","danny.gorry@yakidoo.com","2022-08-12 11:20","Yakidoo","","Champion","614-589-9965",""
"211","Mignonne","Sleford","mignonne.sleford@topdrive.com","2022-08-12 11:20","Topdrive","Other","Other","",""
"709","Tybie","Francey","tybie.francey@jumpxs.com","2022-08-12 11:20","JumpXS","Blocker","Blocker","293-459-6172",""
"1321","Fallon","Langforth","fallon.langforth@oba.com","2022-08-12 11:20","Oba","","Budget Holder","656-412-7031",""
"909","Katee","Haisell","katee.haisell@jabbertype.com","2022-08-12 11:20","Jabbertype","Influencer","Influencer","583-625-5966",""
"555","Natalee","Loughan","natalee.loughan@myworks.com","2022-08-12 11:20","Myworks","Legal & Compliance","Legal & Compliance","",""
"510","Stephana","Bogart","stephana.bogart@zoombox.com","2022-08-12 11:20","Zoombox","","Influencer","510-288-9017",""
"360","Tandy","Thredder","tandy.thredder@youtags.com","2022-08-12 11:20","Youtags","","Budget Holder","265-568-7755",""
"1662","Simmonds","O'Lennachain","simmonds.olennachain@oyoyo.com","2022-08-12 11:20","Oyoyo","","Other","",""
"511","Etta","Takkos","etta.takkos@bubbletube.com","2022-08-12 11:20","Bubbletube","","End User","580-570-1909",""
"707","Rriocard","Di Maggio","rriocard.dimaggio@aibox.com","2022-08-12 11:20","Aibox","","End User","",""
"808","Jethro","Oulett","jethro.oulett@yambee.com","2022-08-12 11:20","Yambee","","End User","327-627-5898",""
"804","Nico","Kienlein","nico.kienlein@jetwire.com","2022-08-12 11:20","Jetwire","","End User","",""
"758","Jemie","Loyns","jemie.loyns@topiczoom.com","2022-08-12 11:20","Topiczoom","","Legal & Compliance","478-678-8815",""
"756","Constantia","Lantry","constantia.lantry@twimbo.com","2022-08-12 11:20","Twimbo","Blocker","Blocker","",""
"361","Codi","Makiver","codi.makiver@agimba.com","2022-08-12 11:20","Agimba","","Budget Holder","525-605-1229",""
"1853","Charlene","Setch","charlene.setch@oba.com","2022-08-12 11:20","Oba","","Blocker","591-684-7005",""
"1509","Viviana","Turvie","viviana.turvie@gabtune.com","2022-08-12 11:20","Gabtune","","Other","",""
"1508","Enriqueta","Ascough","enriqueta.ascough@fanoodle.com","2022-08-12 11:20","Fanoodle","Decision Maker","Decision Maker","186-428-9003",""
"1319","Magda","Ferens","magda.ferens@yabox.com","2022-08-12 11:20","Yabox","Champion","Champion","170-976-9410",""
"1315","Guthry","Gateland","guthry.gateland@gigashots.com","2022-08-12 11:20","Gigashots","Legal & Compliance","Legal & Compliance","",""
"1056","Haydon","Brimson","haydon.brimson@midel.com","2022-08-12 11:20","Midel","Executive Sponsor","Executive Sponsor","888-918-6935",""
"1808","Ardeen","Duchart","ardeen.duchart@yakitri.com","2022-08-12 11:20","Yakitri","","Other","602-146-6682",""
"1357","Selig","Bradbrook","selig.bradbrook@camido.com","2022-08-12 11:20","Camido","","Budget Holder","",""
"507","Halette","Morris","halette.morris@yamia.com","2022-08-12 11:20","Yamia","Budget Holder","Budget Holder","",""
"1470","Willamina","Vanyukov","willamina.vanyukov@browseblab.com","2022-08-12 11:20","Browseblab","End User","End User","",""
"1058","Bing","Grimsley","bing.grimsley@devshare.com","2022-08-12 11:20","Devshare","Blocker","Blocker","538-681-1608",""
"557","Philippa","Lacasa","philippa.lacasa@quaxo.com","2022-08-12 11:20","Quaxo","End User","End User","576-464-0090",""
"463","Elia","Dorian","elia.dorian@yakidoo.com","2022-08-12 11:20","Yakidoo","Legal & Compliance","Legal & Compliance","831-370-4279",""
"459","Erik","Driffe","erik.driffe@blognation.com","2022-08-12 11:20","Blognation","","Legal & Compliance","",""
"710","Marya","Fessions","marya.fessions@lazzy.com","2022-08-12 11:20","Lazzy","","Blocker","120-315-0927",""
"206","Rory","Motto","rory.motto@photobug.com","2022-08-12 11:20","Photobug","","Other","256-182-0642",""
"1806","Angel","Sirette","angel.sirette@blogpad.com","2022-08-12 11:20","Blogpad","Budget Holder","Budget Holder","",""
"1518","Violetta","Carding","violetta.carding@abatz.com","2022-08-12 11:20","Abatz","","Executive Sponsor","",""
"460","Rollo","Tivnan","rollo.tivnan@blogxs.com","2022-08-12 11:20","BlogXS","","Other","471-313-2871",""
"1469","Chryste","Ord","chryste.ord@eare.com","2022-08-12 11:20","Eare","","Decision Maker","",""
"506","Danice","McCleod","danice.mccleod@skiba.com","2022-08-12 11:20","Skiba","Champion","Champion","",""
"704","Jessee","Freckelton","jessee.freckelton@latz.com","2022-08-12 11:20","Latz","","Blocker","977-678-7441",""
"1663","Dalia","Lacasa","dalia.lacasa@jaxnation.com","2022-08-12 11:20","Jaxnation","","Influencer","495-824-8382",""
"1507","Berny","Antonio","berny.antonio@camido.com","2022-08-12 11:20","Camido","","Champion","247-349-8998",""
"108","Clarance","Sine","clarance.sine@devify.com","2022-08-12 11:20","Devify","","Champion","563-409-0796",""
"1355","Cathy","Whithorn","cathy.whithorn@mydo.com","2022-08-12 11:20","Mydo","","Decision Maker","",""
"761","Weylin","Wotherspoon","weylin.wotherspoon@yabox.com","2022-08-12 11:20","Yabox","Executive Sponsor","Executive Sponsor","791-152-1898",""
"363","Kingsly","Enrrico","kingsly.enrrico@thoughtstorm.com","2022-08-12 11:20","Thoughtstorm","","Decision Maker","",""
"1855","Markus","Robertucci","markus.robertucci@yabox.com","2022-08-12 11:20","Yabox","","End User","",""
"1468","Daniella","Prosek","daniella.prosek@yamia.com","2022-08-12 11:20","Yamia","","Legal & Compliance","653-310-9305",""
"512","Joyce","Aleswell","joyce.aleswell@linktype.com","2022-08-12 11:20","Linktype","","Blocker","623-972-4928",""
"212","Ardis","Pepys","ardis.pepys@tazzy.com","2022-08-12 11:20","Tazzy","","Executive Sponsor","721-527-8646",""
"1059","Stefanie","Grasner","stefanie.grasner@eazzy.com","2022-08-12 11:20","Eazzy","","Blocker","",""
"1057","Sauncho","Steadman","sauncho.steadman@brainsphere.com","2022-08-12 11:20","Brainsphere","Budget Holder","Budget Holder","854-370-8040",""
"906","Merry","Espinay","merry.espinay@innojam.com","2022-08-12 11:20","Innojam","","Other","656-522-9311",""
"359","Chantalle","Terris","chantalle.terris@janyx.com","2022-08-12 11:20","Janyx","","Decision Maker","409-821-8240",""
"1660","Martina","Newark","martina.newark@devify.com","2022-08-12 11:20","Devify","","End User","",""
"1513","Nellie","Van Der Weedenburg","nellie.vanderweedenburg@youbridge.com","2022-08-12 11:20","Youbridge","","Other","647-637-6526",""
"464","Edward","Aughtie","edward.aughtie@jabbersphere.com","2022-08-12 11:20","Jabbersphere","","End User","",""
"1461","Dwight","Took","dwight.took@quimm.com","2022-08-12 11:20","Quimm","Influencer","Influencer","",""
"1317","Lonnie","Redmire","lonnie.redmire@jetwire.com","2022-08-12 11:20","Jetwire","","Champion","",""
"1316","Justis","Pogue","justis.pogue@feedfish.com","2022-08-12 11:20","Feedfish","","Budget Holder","165-317-3115",""
"1308","Nigel","O'Doherty","nigel.odoherty@izio.com","2022-08-12 11:20","Izio","Influencer","Influencer","",""
"513","Angel","MacAnespie","angel.macanespie@yombu.com","2022-08-12 11:20","Yombu","","Executive Sponsor","",""
"1810","Otho","Snalom","otho.snalom@eamia.com","2022-08-12 11:20","Eamia","","End User","354-827-0353",""
"1661","Coleman","Steddall","coleman.steddall@twitternation.com","2022-08-12 11:20","Twitternation","","Executive Sponsor","906-547-0928",""
